id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
264704,"PRIVATE BEDROOM KING BED,FOR ONE OR TWO, BATHROOM",1388769,Juan Y Josefina,Balvanera,-34.61722,-58.40186,Private room,3313,5,47,25/08/2019,0.34,6,110,0
21582776,Cozy apartment in Residential Area in BA city.,30480233,Gaby,Villa Del Parque,-34.59914,-58.4888,Entire home/apt,9318,2,44,23/09/2019,0.68,2,334,0
775467000000000000,Amplio Estudio en Caballito,432484857,Juli,Flores,-34.6161743,-58.4627544,Entire home/apt,5177,2,0,,,4,350,0
28586689,Departamento Industrial a nuevo - zona inmejorable,213918330,Nicolas,Caballito,-34.62841,-58.44159,Entire home/apt,5714,2,87,21/03/2023,1.6,1,66,19
746219000000000000,Hermoso departamente en Caballito,485174079,Luz,Caballito,-34.61778,-58.42952,Entire home/apt,8697,2,2,17/11/2022,0.42,1,178,2
23149465,Cozy Studio  - Bell 2,49713768,Natacha,Villa Del Parque,-34.6037,-58.4961,Entire home/apt,6833,4,13,30/07/2021,0.21,5,152,0
713901000000000000,Estudio en Belgrano con piscina,479122240,Candela,Belgrano,-34.55839,-58.44455,Entire home/apt,7041,5,18,20/03/2023,2.77,1,337,18
584681000000000000,Hermoso y cálido departamento con amenities,450015827,Juan Carlos,Almagro,-34.59919,-58.42571,Entire home/apt,8283,2,26,23/03/2023,2.16,1,0,26
36268182,"Palermo Soho Studio.  Trendy, Bright and Spacious",272770998,Maria Soledad Etel,Palermo,-34.58517,-58.42341,Entire home/apt,9318,2,31,02/03/2023,0.69,1,344,12
836236000000000000,"Brand new, fully furnished & equipped. CA",13558868,Juan Bautista,Nuñez,-34.5376714,-58.4666903,Entire home/apt,9111,2,1,12/03/2023,1,42,131,1
687715000000000000,Hermoso Apartamento en Caballito. 200mts del metro,102222787,Gabriel,Flores,-34.62862,-58.45534,Entire home/apt,10000,2,0,,,1,331,0
8888199,Una Isla en medio de la ciudad,46504752,Vero,Paternal,-34.59637,-58.46704,Entire home/apt,1500,3,0,,,1,87,0
53292950,HART - Apartment Montañeses,12450540,Hart,Nuñez,-34.54939,-58.45681,Entire home/apt,20500,7,2,28/11/2022,0.15,28,355,1
826070000000000000,Tranquilo y amplio apartamento,432484857,Juli,Villa Del Parque,-34.607977,-58.48947,Entire home/apt,3667,3,0,,,4,365,0
16282152,Room near the center of Buenos Aires,87802354,Maria Celia,San Cristobal,-34.62655,-58.39682,Private room,15000,1,11,13/11/2022,0.15,1,365,4
41934048,Monoambiente Melian II,249868563,Augusto,Saavedra,-34.55502,-58.48026,Entire home/apt,6500,25,6,16/08/2022,0.16,10,363,1
552046000000000000,Hermoso departamento 2 ambientes con terraza,232246756,Florencia,Villa Urquiza,-34.57795,-58.4923,Entire home/apt,7041,6,5,05/12/2022,0.7,2,186,5
35163371,"Urban Corner, Villa Urquiza, Buenos Aires",34463416,Diego,Villa Urquiza,-34.57261,-58.49405,Entire home/apt,5295,1,98,23/02/2023,2.14,2,343,37
27842503,La casa del árbol: calidad y amplitud.,184897412,Ruth,Chacarita,-34.59396,-58.45082,Private room,4142,1,9,11/12/2021,0.16,1,59,0
800237000000000000,Spacious apartment in Nuñez.,191745126,Marcos,Nuñez,-34.53780532,-58.46737441,Entire home/apt,23074,3,2,06/03/2023,2,27,357,2
36553817,"Dpto duplex, dto principal y vestidor  Balcón luz",91026316,Diego,Flores,-34.61614,-58.4631,Entire home/apt,56206,5,0,,,1,362,0
53044783,Duplex en casona reciclada del siglo XX Recoleta,3150517,Debo,Recoleta,-34.5917,-58.39166,Entire home/apt,11389,4,15,29/10/2022,0.9,22,57,10
821133000000000000,Lugar encantador Naturaleza,499896230,Soledad,San Cristobal,-34.61994314,-58.39561298,Entire home/apt,30000,1,0,,,1,361,0
52991801,"Hotel Tango Club 
Buenos Aires",271853036,Raul,San Cristobal,-34.62425578,-58.39463582,Private room,8514,1,0,,,5,365,0
40302235,Luminous 700 sq ft Apt. in front of park,311353553,Patricia,Caballito,-34.60524,-58.43662,Entire home/apt,6212,28,4,21/02/2023,0.39,1,256,4
749360000000000000,Habitación privada en Chacarita,209079026,Lautaro,Chacarita,-34.59322,-58.45189,Private room,12000,1,0,,,1,365,0
804917000000000000,Start Apartments,232393400,Maximiliano Alejandro,Paternal,-34.60360617,-58.46077155,Entire home/apt,15000,2,0,,,1,57,0
46340254,Departamento unico en Villa Urquiza,17893204,Martin,Villa Urquiza,-34.56787,-58.49877,Entire home/apt,8000,5,12,25/11/2022,0.44,1,334,5
741137000000000000,Depto en V Gral Mitre con Pileta,484236313,Sofia,Villa Gral. Mitre,-34.61505,-58.468,Entire home/apt,6000,3,6,19/03/2023,1.67,1,36,6
1263142,RENT BEAUTIFUL CENTRAL ROOM (MIRÓ),1864747,Irina,Almagro,-34.61095,-58.42192,Private room,2071,2,26,30/11/2022,0.22,23,256,1
574816000000000000,Amazing apartment with roof terrace and patio,2066197,Vane,Saavedra,-34.5521,-58.48594,Entire home/apt,17394,5,4,30/10/2022,0.42,1,147,4
775534000000000000,Modern Loft in Villa Urquiza w/ balcony,13834947,Joaquin,Villa Urquiza,-34.56857,-58.48738,Entire home/apt,7921,3,3,03/03/2023,0.91,27,168,3
642517000000000000,Lovely studio in Almagro by depptö,441482178,Santiago,Almagro,-34.62064,-58.41769,Entire home/apt,9554,1,6,26/02/2023,1.25,53,359,6
20948210,Ideal para Ejecutivos o parejas,79027781,Maru,Villa Pueyrredon,-34.58816,-58.50051,Entire home/apt,9643,15,14,07/02/2021,0.21,3,362,0
11508390,Dto 3 ambientes amenities Caballito,46853164,Mariela,Caballito,-34.62773,-58.43725,Entire home/apt,10354,10,8,29/03/2020,0.1,1,361,0
590694000000000000,Como en casa en Recoleta,5883219,Frida,Recoleta,-34.58984,-58.40684,Entire home/apt,16400,2,0,,,1,0,0
798462000000000000,Monoambiente Luxury,12585921,Maria De Los Angeles,Monte Castro,-34.62372497,-58.50488417,Entire home/apt,10000,1,1,14/03/2023,1,1,272,1
371898,10th floor comfortable apartment + Swimming pool!,1794617,Manu,San Cristobal,-34.62208,-58.39676,Entire home/apt,4970,90,9,18/10/2021,0.16,1,325,0
16685472,Sentirse en casa cuando se encuentra lejos..,110454132,Victor,Caballito,-34.62344,-58.43842,Entire home/apt,17808,4,1,18/03/2018,0.02,3,271,0
30729332,Charming studio apartment in Caballito - CABA.,226297612,Matias,Caballito,-34.62252,-58.4296,Entire home/apt,5591,4,21,22/03/2023,0.44,1,69,20
644025000000000000,Hermoso departamento completo en Villa Pueyrredón,280702053,Esteban,Villa Pueyrredon,-34.57942,-58.50645,Entire home/apt,4734,1,18,26/03/2023,1.91,10,270,18
592906000000000000,"Hermoso departamento, increíble ubicación!!",14721326,Mariana,Recoleta,-34.59172263,-58.40338255,Entire home/apt,5945,3,11,22/03/2023,4.18,1,0,11
31289665,Luminoso Estudio en Nuñez,38008551,Silvana Andrea,Nuñez,-34.5431323,-58.4618177,Entire home/apt,14571,1,3,10/03/2023,3,5,362,3
816058000000000000,2 Ambientes en Villa del Parque,196872732,Ludmila,Villa Del Parque,-34.60288,-58.48895,Entire home/apt,7248,1,0,,,11,358,0
599359000000000000,Depto. entero. Zona muy Tranquila (ideal parejas),54332137,Gaston,Caballito,-34.607807,-58.449574,Entire home/apt,10147,30,1,19/04/2022,0.09,1,61,1
48029903,Monoambiente luminoso apto para dos personas,387177739,Giselle,Paternal,-34.6021,-58.46018,Entire home/apt,6212,2,4,07/11/2022,0.28,1,362,3
33714704,Hermoso departamento en Caballito !,107114974,Constanza Paula,Caballito,-34.62475,-58.4469,Entire home/apt,4677,6,8,02/11/2022,0.17,1,108,3
34678528,Cosy flat nearby  the parks,40016917,Ari,Saavedra,-34.55349,-58.49385,Entire home/apt,6212,90,1,03/07/2019,0.02,1,180,0
593459000000000000,La Dolfina Unique Polo View - 4 BR- 3BR - Security,48164656,Syl,Palermo,-34.57394,-58.42882,Entire home/apt,51769,4,9,19/12/2022,0.81,21,4,9
679541000000000000,Departamento amueblado en Parque Patricios,107907907,Pablo,Parque Patricios,-34.63121,-58.40194,Entire home/apt,9318,2,4,08/02/2023,0.67,1,252,4
4302415,Boedo Apartment,9939312,Yiyi,Boedo,-34.62081,-58.41382,Entire home/apt,8283,3,22,02/03/2023,0.22,4,353,2
27868445,DPTO HERMOSO Y BUENA ONDA,113449369,Antonella,Caballito,-34.62296,-58.43669,Entire home/apt,10354,5,0,,,1,365,0
28052641,"PH full en zona pintoresca, accesible y tranquila",175352580,Sol,Caballito,-34.6122,-58.43578,Entire home/apt,10354,30,0,,,2,362,0
52786782,Hermoso Departamento en Villa Urquiza,116298591,Mariano,Villa Urquiza,-34.57816,-58.48417,Entire home/apt,6300,3,35,22/03/2023,2.26,1,337,32
46652784,Casa con 3 cuartos - Súper soleada con Patio,242330964,Sabina,Villa Crespo,-34.59657,-58.45081,Entire home/apt,10354,2,1,22/03/2023,1,5,358,1
38595900,"Puerto Madero, exclusive loft near city center",87999559,Nahuel,Puerto Madero,-34.61851,-58.36037,Entire home/apt,11536,2,41,21/02/2023,1.01,1,68,29
641905000000000000,Come Relax in this Modern Apartment in Palermo,11256892,HomelyJoy,Palermo,-34.58488,-58.43909,Entire home/apt,9361,2,28,19/03/2023,3.07,98,147,28
601561000000000000,Hermoso Loft con balcón cercano a Puerto Madero,27290728,Martin (He/Him),Boca,-34.627811,-58.360073,Entire home/apt,8283,2,50,20/03/2023,4.62,2,164,50
14328570,AP. DELUXE TORRES DE MONTAÑESES,77357657,Andrea,Nuñez,-34.54886,-58.45612,Entire home/apt,41415,30,3,27/05/2017,0.04,1,365,0
620215000000000000,"Hermoso , luminoso , espacio para disfrutar al sol",195382639,Carolina,Villa Devoto,-34.58912,-58.50996,Entire home/apt,7000,3,5,22/11/2022,0.88,1,274,5
43776692,Montañeses 2830 Modern Flat in Nuñez,349878662,Claudia,Nuñez,-34.55094,-58.45469,Entire home/apt,8105,1,58,02/02/2023,1.72,2,324,28
48474951,Departamento V. Urquiza con amplia vista verde,58722222,Lian,Parque Chas,-34.584,-58.47346,Entire home/apt,4500,4,27,13/03/2023,1.09,1,74,23
604215000000000000,Wonderful design apt,3905450,Jorge,Villa Ortuzar,-34.58378377,-58.46859215,Entire home/apt,8076,2,8,20/03/2023,2.45,1,349,8
693165000000000000,Luminoso departamento Av libertador,95034486,Camila,Belgrano,-34.5586299,-58.4457789,Entire home/apt,8343,4,12,26/03/2023,1.71,1,264,12
850683000000000000,Depto en Palermo,397126433,Fiorella,Retiro,-34.59032748,-58.38243029,Shared room,3431,2,0,,,1,87,0
