id,,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews
33930314,,Este Departamento trae Suerte!! Hospital Italiano.,227164742,Valeria,Almagro,-34.60462,-58.42519,Entire home/apt,5829,2,59
33930685,,"Shared Dormitory, Women only, 6 Beds",87197898,Alberto,Recoleta,-34.59487,-58.39603,Hotel room,2485,3,2
33930720,,Oasis en el Barrio - Increíble Departamento!,254163819,Eduardo,Constitucion,-34.61847,-58.38349,Entire home/apt,17601,7,53
33930847,,"Stylish and space-saving Shared Dorm, Women only",87197898,Alberto,Recoleta,-34.59487,-58.39603,Hotel room,2071,1,1
33932078,,A home away from home,8614889,Cristina,Recoleta,-34.59295,-58.4065,Entire home/apt,9318,2,0
33932986,,Boutique Suite in the heart of Palermo. Nº5,256039628,Gabriel,Villa Crespo,-34.59603,-58.42833,Private room,16000,1,3
33935173,,Moderno y luminoso departamento en Capital Federal,99361490,Dario,Villa Luro,-34.64102,-58.50251,Entire home/apt,7248,5,35
33936016,,Boutique Room in the heart of Palermo. Nº4,256039628,Gabriel,Palermo,-34.59383,-58.42821,Private room,17000,1,18
33940565,,"Estudio,  zona residencial, buena vista, Palermo",5650512,Isabel Guillermina,Palermo,-34.58129,-58.4103,Entire home/apt,7637,7,31
33940965,,Moderno Studio con Amenities. Descanso Verde.,251561536,Mariana,Palermo,-34.57645,-58.43989,Entire home/apt,8283,1,1
33941058,,Elegant 3 rooms 2 baths- Recoleta mts Av. Santa Fe,72557975,Yanina,Retiro,-34.59547,-58.38617,Entire home/apt,20000,4,26
33943463,,Boutique Hotel Room in the heart of Palermo. Nº6,256039628,Gabriel,Palermo,-34.59582,-58.42683,Private room,15000,1,6
33956188,,PERLA ITALIANO-Dúplex frente al Hospital Italiano,4912642,Iris Perla,Almagro,-34.60516,-58.42409,Entire home/apt,13874,14,3
33957904,,Luminoso noveno piso con increíbles vistas.,41920745,Mónica,Saavedra,-34.5462,-58.47185,Entire home/apt,14495,5,2
33960669,,Casa Ocampo Recoleta!,195226030,Manuel,Palermo,-34.58216,-58.40558,Entire home/apt,16566,3,59
33965210,,"Beautiful studio near metro, malls, bars & parks!",252656553,Beto Y Nico,Palermo,-34.57838,-58.42897,Entire home/apt,9733,3,181
33966130,,Amplio studio en Palermo muy bien ubicado.,231610020,Jose Fernando,Palermo,-34.59006,-58.41821,Entire home/apt,2000,15,11
33970702,,The proposal of greater tourist value of BS AS,256077486,Carolina,Almagro,-34.59807,-58.42143,Entire home/apt,8579,7,45
33970821,,Cómodo Departamento en el corazón de Palermo,5423283,Javier,Palermo,-34.58267,-58.42799,Entire home/apt,8047,3,59
33986174,,"Loft en edificio de época, en barrio de Tango",203850144,Cristian,Almagro,-34.6191,-58.41622,Entire home/apt,6500,3,31
33989861,,Recoleta for 2 - Great location and service!,230526472,María Candela,Recoleta,-34.58794,-58.39991,Entire home/apt,8579,21,36
33990510,,Cálido y moderno Studio en locación ideal Recoleta,34190748,Ximena,Recoleta,-34.5975,-58.39667,Entire home/apt,6212,5,51
